season,team,d_att,d_dfn
2022,Southampton,-0.23955170154057864,0.06531345259792914
2022,West Ham,-0.226065313932922,0.025057158306350236
2022,Chelsea,-0.38862395910509684,-0.4171085907823948
2022,Everton,0.014782687367338676,0.04543730050394504
2022,Manchester City,-0.13007789730922859,-0.18923441087251675
2022,Newcastle United,0.4945029401000492,0.5125701334279129
2022,Arsenal,0.24365406770427325,0.11467338769172966
2022,Leicester,-0.16145542059743898,0.056200474333502476
2022,Wolverhampton Wanderers,-0.20022567311487577,-0.13392588726049948
2022,Brentford,0.08194691911179781,0.053740265259821014
2023,Bournemouth,0.25480086817399267,0.1562642764853471
2023,Crystal Palace,0.15818059987230154,-0.02913039974579678
2023,Tottenham,0.07048038309193028,-0.042199575853698774
2023,Aston Villa,0.20075549818995284,-0.14840635308932565
2023,Manchester United,-0.3125638400361216,-0.20867210702405298
2023,Fulham,-0.01178664543916283,0.13670571793137143
2023,Brighton,-0.3988746585462136,-0.07030819838854942
2023,Liverpool,-0.03602746768365023,0.2528441845789078
2023,West Ham,0.052677065435753845,-0.1951769063510673
2023,Nottingham Forest,0.1826518708487537,0.21920007085833124
2023,Chelsea,0.31628700787905684,-0.04916570767677869
2023,Everton,0.05156155078662619,0.2730077785907015
2023,Manchester City,-0.10059391601366102,0.05834420387923328
2023,Newcastle United,-0.01750790378116407,-0.36399130299648086
2023,Arsenal,-0.12501598365664196,0.48765240476550153
2023,Wolverhampton Wanderers,0.2552857460494037,-0.03224818934422802
2023,Brentford,-0.04727235689158791,-0.09149826359020867
2024,Bournemouth,0.14082472971691745,0.16211373449005817
2024,Crystal Palace,0.2056191626384446,-0.05135196189758578
2024,Tottenham,-0.07315154592541115,-0.10725040893246686
2024,Aston Villa,-0.05629745034938487,0.1287536346342197
2024,Manchester United,-0.029784685795415496,0.09828537483490157
2024,Fulham,0.0980678135885563,0.16405428887184464
2024,Brighton,0.15160792952481295,0.0012699331752652025
2024,Liverpool,0.051952761882565535,0.0358144797872863
2024,West Ham,-0.05572108348338761,0.043913999648903496
2024,Nottingham Forest,0.10088622584465848,0.04809539572766442
2024,Chelsea,-0.024363713899417744,0.17419067930370544
2024,Everton,-0.11414558495344612,0.01545933111086438
2024,Manchester City,-0.12073140384200023,-0.3761716648966422
2024,Newcastle United,-0.11357332177258095,0.10856017668138591
2024,Arsenal,-0.059002182583227175,-0.2742734536435823
2024,Wolverhampton Wanderers,0.05094465283740118,0.08937123667674665
2024,Brentford,0.12040765933272929,-0.04039741992961331
2025,Bournemouth,0.002043180001404382,-0.1109625359935796
2025,Crystal Palace,-0.1048823382982911,-0.007122474249297059
2025,Tottenham,-0.2428302126940597,0.15388729686237002
2025,Aston Villa,-0.020298165116451924,-0.06661586024879497
2025,Manchester United,0.33794293672065673,0.09676204605353445
2025,Fulham,-0.108030669439373,-0.18034191124469928
2025,Brighton,-0.08850788833269463,0.07659153633282878
2025,Liverpool,-0.22009765236316553,-0.2642485460363997
2025,West Ham,0.04057955282393563,-0.02952994377995971
2025,Nottingham Forest,-0.0530129780646586,-0.15599265019237832
2025,Chelsea,0.0008400428501742496,-0.19336099407284185
2025,Everton,0.13820465666809456,-0.151497046027664
2025,Manchester City,0.12859361900244418,0.08283569116192788
2025,Newcastle United,-0.1409062624907136,-0.09836966733463094
2025,Arsenal,0.08070713570114837,0.1040435968135755
2025,Wolverhampton Wanderers,-0.3329213464456391,-0.139337763490888
2025,Brentford,-0.050803757350770515,0.0718352666725072
